Object	Correct_Category	DS_MaxLikelihood_Category	MV_MaxLikelihood_Category	DS_MinCost_Category	MV_MinCost_Category	DS_Pr[1]	DS_Pr[0]	MV_Pr[1]	MV_Pr[0]	DataCost_Estm_DS_Exp	DataCost_Estm_MV_Exp	DataCost_Estm_DS_ML	DataCost_Estm_MV_ML	DataCost_Estm_DS_Min	DataCost_Estm_MV_Min	DataCost_Estm_NoVote_Exp	DataCost_Estm_NoVote_Min	DataCost_Eval_DS_ML	DataCost_Eval_MV_ML	DataCost_Eval_DS_Min	DataCost_Eval_MV_Min	DataCost_Eval_DS_Soft	DataCost_Eval_MV_Soft	DataQuality_Estm_DS_ML	DataQuality_Estm_MV_ML	DataQuality_Estm_DS_Exp	DataQuality_Estm_MV_Exp	DataQuality_Estm_DS_Min	DataQuality_Estm_MV_Min	DataQuality_Eval_DS_ML	DataQuality_Eval_MV_ML	DataQuality_Eval_DS_Min	DataQuality_Eval_MV_Min	DataQuality_Eval_DS_Soft	DataQuality_Eval_MV_Soft
602	0	0	0	0	0	0.0634	0.9366	0.0000	1.0000	0.1188	0.0000	0.0634	0.0000	0.0634	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0634	0.0000	87.32%	100.00%	76.24%	100.00%	87.32%	100.00%	100.00%	100.00%	100.00%	100.00%	87.32%	100.00%
603	0	0	0	0	0	0.0625	0.9375	0.0000	1.0000	0.1171	0.0000	0.0625	0.0000	0.0625	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0625	0.0000	87.51%	100.00%	76.57%	100.00%	87.51%	100.00%	100.00%	100.00%	100.00%	100.00%	87.51%	100.00%
604	0	0	0	0	0	0.1689	0.8311	0.2000	0.8000	0.2807	0.3200	0.1689	0.2000	0.1689	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.1689	0.2000	66.22%	60.00%	43.85%	36.00%	66.22%	60.00%	100.00%	100.00%	100.00%	100.00%	66.22%	60.00%
605	0	0	0	0	0	0.0907	0.9093	0.2000	0.8000	0.1649	0.3200	0.0907	0.2000	0.0907	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0907	0.2000	81.86%	60.00%	67.01%	36.00%	81.86%	60.00%	100.00%	100.00%	100.00%	100.00%	81.86%	60.00%
606	0	0	0	0	0	0.0024	0.9976	0.0000	1.0000	0.0048	0.0000	0.0024	0.0000	0.0024	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0024	0.0000	99.51%	100.00%	99.03%	100.00%	99.51%	100.00%	100.00%	100.00%	100.00%	100.00%	99.51%	100.00%
607	1	1	1	1	1	0.9992	0.0008	0.8000	0.2000	0.0016	0.3200	0.0008	0.2000	0.0008	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0008	0.2000	99.84%	60.00%	99.68%	36.00%	99.84%	60.00%	100.00%	100.00%	100.00%	100.00%	99.84%	60.00%
608	0	1	0	1	0	0.9084	0.0916	0.4000	0.6000	0.1664	0.4800	0.0916	0.4000	0.0916	0.4000	0.5000	0.5000	1.0000	0.0000	1.0000	0.0000	0.9084	0.4000	81.69%	20.00%	66.73%	4.00%	81.69%	20.00%	-100.00%	100.00%	-100.00%	100.00%	-81.69%	20.00%
609	1	1	1	1	1	0.9995	0.0005	0.6000	0.4000	0.0010	0.4800	0.0005	0.4000	0.0005	0.4000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0005	0.4000	99.90%	20.00%	99.81%	4.00%	99.90%	20.00%	100.00%	100.00%	100.00%	100.00%	99.90%	20.00%
61	1	1	1	1	1	1.0000	0.0000	0.8000	0.2000	0.0000	0.3200	0.0000	0.2000	0.0000	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2000	100.00%	60.00%	100.00%	36.00%	100.00%	60.00%	100.00%	100.00%	100.00%	100.00%	100.00%	60.00%
610	0	0	0	0	0	0.0341	0.9659	0.0000	1.0000	0.0659	0.0000	0.0341	0.0000	0.0341	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0341	0.0000	93.18%	100.00%	86.82%	100.00%	93.18%	100.00%	100.00%	100.00%	100.00%	100.00%	93.18%	100.00%
