Object	Correct_Category	DS_MaxLikelihood_Category	MV_MaxLikelihood_Category	DS_MinCost_Category	MV_MinCost_Category	DS_Pr[1]	DS_Pr[0]	MV_Pr[1]	MV_Pr[0]	DataCost_Estm_DS_Exp	DataCost_Estm_MV_Exp	DataCost_Estm_DS_ML	DataCost_Estm_MV_ML	DataCost_Estm_DS_Min	DataCost_Estm_MV_Min	DataCost_Estm_NoVote_Exp	DataCost_Estm_NoVote_Min	DataCost_Eval_DS_ML	DataCost_Eval_MV_ML	DataCost_Eval_DS_Min	DataCost_Eval_MV_Min	DataCost_Eval_DS_Soft	DataCost_Eval_MV_Soft	DataQuality_Estm_DS_ML	DataQuality_Estm_MV_ML	DataQuality_Estm_DS_Exp	DataQuality_Estm_MV_Exp	DataQuality_Estm_DS_Min	DataQuality_Estm_MV_Min	DataQuality_Eval_DS_ML	DataQuality_Eval_MV_ML	DataQuality_Eval_DS_Min	DataQuality_Eval_MV_Min	DataQuality_Eval_DS_Soft	DataQuality_Eval_MV_Soft
562	0	0	0	0	0	0.0049	0.9951	0.0000	1.0000	0.0098	0.0000	0.0049	0.0000	0.0049	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0049	0.0000	99.01%	100.00%	98.03%	100.00%	99.01%	100.00%	100.00%	100.00%	100.00%	100.00%	99.01%	100.00%
563	0	0	0	0	0	0.0189	0.9811	0.0000	1.0000	0.0370	0.0000	0.0189	0.0000	0.0189	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0189	0.0000	96.23%	100.00%	92.60%	100.00%	96.23%	100.00%	100.00%	100.00%	100.00%	100.00%	96.23%	100.00%
564	0	0	0	0	0	0.0375	0.9625	0.0000	1.0000	0.0721	0.0000	0.0375	0.0000	0.0375	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0375	0.0000	92.51%	100.00%	85.57%	100.00%	92.51%	100.00%	100.00%	100.00%	100.00%	100.00%	92.51%	100.00%
565	1	1	1	1	1	0.9999	0.0001	0.8000	0.2000	0.0001	0.3200	0.0001	0.2000	0.0001	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0001	0.2000	99.99%	60.00%	99.97%	36.00%	99.99%	60.00%	100.00%	100.00%	100.00%	100.00%	99.99%	60.00%
566	1	1	1	1	1	0.9896	0.0104	0.6000	0.4000	0.0205	0.4800	0.0104	0.4000	0.0104	0.4000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0104	0.4000	97.92%	20.00%	95.89%	4.00%	97.92%	20.00%	100.00%	100.00%	100.00%	100.00%	97.92%	20.00%
567	0	0	0	0	0	0.0203	0.9797	0.0000	1.0000	0.0398	0.0000	0.0203	0.0000	0.0203	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0203	0.0000	95.94%	100.00%	92.04%	100.00%	95.94%	100.00%	100.00%	100.00%	100.00%	100.00%	95.94%	100.00%
568	1	1	1	1	1	0.9477	0.0523	0.6000	0.4000	0.0991	0.4800	0.0523	0.4000	0.0523	0.4000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0523	0.4000	89.54%	20.00%	80.18%	4.00%	89.54%	20.00%	100.00%	100.00%	100.00%	100.00%	89.54%	20.00%
569	0	0	0	0	0	0.0300	0.9700	0.0000	1.0000	0.0582	0.0000	0.0300	0.0000	0.0300	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0300	0.0000	94.00%	100.00%	88.36%	100.00%	94.00%	100.00%	100.00%	100.00%	100.00%	100.00%	94.00%	100.00%
57	0	1	0	1	0	0.7791	0.2209	0.4000	0.6000	0.3442	0.4800	0.2209	0.4000	0.2209	0.4000	0.5000	0.5000	1.0000	0.0000	1.0000	0.0000	0.7791	0.4000	55.83%	20.00%	31.17%	4.00%	55.83%	20.00%	-100.00%	100.00%	-100.00%	100.00%	-55.83%	20.00%
570	0	0	0	0	0	0.0526	0.9474	0.0000	1.0000	0.0997	0.0000	0.0526	0.0000	0.0526	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0526	0.0000	89.48%	100.00%	80.07%	100.00%	89.48%	100.00%	100.00%	100.00%	100.00%	100.00%	89.48%	100.00%
